# generated by run.sh -- do not hand-edit
# date: 2026-09-06T15:52:13Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 6  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/list
cpu: QEMU Virtual CPU version 2.5+
BenchmarkIterate/seq-slice/1024-23               	  107356	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/1024-23               	  101452	      1164 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/1024-23               	  105388	      1129 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/1024-23               	   99894	      1167 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     619	    192905 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     619	    192892 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     621	    192731 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     621	    192579 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     612	    192804 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-list/262144-23              	     606	    199218 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2329	     49588 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2425	     49967 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2348	     51181 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2316	     51162 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2419	     49726 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/raw-slice/262144-23             	    2422	     49580 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     411	    290027 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     405	    294988 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     410	    294862 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     404	    296666 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     404	    296658 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-list/262144-23              	     406	    296046 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     404	    291505 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     402	    297557 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     405	    293141 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     402	    297462 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     403	    297174 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/seq-slice/262144-23             	     403	    297285 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	384440697	         0.3153 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	375863804	         0.3161 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	368285408	         0.3223 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	384107574	         0.3121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	379845547	         0.3182 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/unchecked-23              	372372204	         0.3216 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	320675007	         0.3738 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	321322708	         0.3735 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	330582956	         0.3659 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	318992697	         0.3756 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	324871732	         0.3690 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/tombstone-23              	320393810	         0.3745 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	319202164	         0.3755 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	325707028	         0.3699 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	324080965	         0.3704 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	318043084	         0.3755 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	315305943	         0.3783 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetValidation/backpointer-23            	317099612	         0.3766 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	     901	    127406 ns/op	       9 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	     957	    129234 ns/op	       2 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	     950	    127143 ns/op	       2 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	     932	    127975 ns/op	       2 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	     952	    114641 ns/op	       3 B/op	       0 allocs/op
BenchmarkGCCycle/retained=none-23                	    1164	    120888 ns/op	       2 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	     100	   1412778 ns/op	     106 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	      88	   1445253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	      82	   1403150 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	      84	   1416240 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	      98	   1429312 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=2ptr-23                	      88	   1381905 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      80	   1519755 ns/op	      66 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      87	   1510746 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      97	   1553142 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      85	   1542848 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      74	   1577730 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCCycle/retained=3ptr-23                	      73	   1520962 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuild/2ptr/1024-23                      	    9135	     13124 ns/op	   34048 B/op	    1025 allocs/op
BenchmarkBuild/2ptr/1024-23                      	    7672	     13462 ns/op	   34048 B/op	    1025 allocs/op
BenchmarkBuild/2ptr/1024-23                      	    9399	     13582 ns/op	   34048 B/op	    1025 allocs/op
BenchmarkBuild/2ptr/1024-23                      	    9655	     13468 ns/op	   34048 B/op	    1025 allocs/op
