# generated by run.sh -- do not hand-edit
# date: 2026-09-08T14:29:30Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/vectorcost
cpu: QEMU Virtual CPU version 2.5+
BenchmarkAppendOne/VectorNonVariadic-23 	368512922	         0.6493 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	366223370	         0.6537 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	358447503	         0.6649 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	362707880	         0.6600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	370868752	         0.6441 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	370486398	         0.6480 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	368203130	         0.6479 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendOne/VectorNonVariadic-23 	361143156	         0.6639 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/vectorcost	40.172s
