# generated by run.sh -- do not hand-edit
# date: 2026-09-08T15:58:38Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sliceadapter
cpu: QEMU Virtual CPU version 2.5+
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2242 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2294 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2267 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2255 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2241 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2322 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
