# generated by run.sh -- do not hand-edit
# date: 2026-09-08T03:08:01Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewiface
cpu: QEMU Virtual CPU version 2.5+
BenchmarkCross/Field/4-23    	 2043096	       118.4 ns/op	      96 B/op	       4 allocs/op
BenchmarkCross/Iface/4-23    	 3392581	        70.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3395750	        69.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3445633	        69.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3350028	        70.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3381415	        69.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3446610	        70.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3412585	        69.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3398502	        70.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3356347	        70.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/4-23    	 3416704	        69.83 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3561444	        67.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3505996	        68.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3549223	        67.00 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3583389	        67.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3477110	        67.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3575520	        67.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3591157	        66.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3528199	        67.72 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3560089	        67.54 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/4-23      	 3449892	        68.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       235.1 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	  952224	       237.8 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       236.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	  989222	       233.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       234.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       234.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       234.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       234.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       235.3 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Field/8-23    	 1000000	       233.8 ns/op	     192 B/op	       8 allocs/op
BenchmarkCross/Iface/8-23    	 1886862	       127.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1890669	       127.0 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1874132	       128.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1876873	       127.7 ns/op	      24 B/op	       1 allocs/op
