# generated by run.sh -- do not hand-edit
# date: 2026-09-24T21:35:05Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/witness
cpu: QEMU Virtual CPU version 2.5+
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  446888	       527.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  466130	       524.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  468316	       525.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  443271	       521.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  452460	       527.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  410862	       528.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/KeySlice(per-call)-23          	  468570	       521.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  552298	       436.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  549535	       436.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  543288	       437.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  574164	       425.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  545148	       417.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  522002	       431.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  538657	       418.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=64/Each(non-capturing)-23         	  531114	       433.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   30351	      7752 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   29947	      7874 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   32070	      7723 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   30264	      7818 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   30442	      8003 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   31270	      7833 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   29952	      7879 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(per-call)-23      	   30025	      8108 ns/op	     192 B/op	       6 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   30187	      8051 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   30844	      7862 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   30420	      8106 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   32054	      7653 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   30463	      7905 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   31891	      7734 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   32350	      7612 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/range-Keys(hoisted)-23       	   30486	      7918 ns/op	     144 B/op	       5 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29172	      8115 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29607	      8108 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29565	      8080 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29414	      8093 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29817	      8094 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29493	      8036 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29874	      8091 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/KeySlice(per-call)-23        	   29695	      8045 ns/op	   18432 B/op	       1 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   35838	      6637 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   36063	      6629 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   36363	      6622 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   36844	      6504 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   37252	      6431 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   36993	      6446 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   35618	      6660 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscapeHatchAlternatives/n=1024/Each(non-capturing)-23       	   35107	      6826 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  654376	       355.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  628228	       349.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  686488	       348.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  688399	       348.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  667881	       348.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  687470	       352.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  641888	       353.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/container(no_view)-23                               	  664130	       348.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  428359	       571.8 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  406554	       576.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  440152	       570.9 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  424681	       571.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  437272	       574.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  425475	       571.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  422636	       568.7 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/interface(today)-23                            	  433695	       569.6 ns/op	     192 B/op	       6 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  565510	       421.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  565964	       417.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  551829	       424.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  569068	       404.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  548880	       424.9 ns/op	       0 B/op	       0 allocs/op
