# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkContainerShape/Keys/ref-23                 	  729912	       329.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  692373	       332.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  689084	       330.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  712464	       331.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  699591	       324.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  735682	       325.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  737076	       326.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref-23                 	  738732	       327.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  725914	       330.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  724893	       335.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  664606	       335.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  743421	       328.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  720429	       331.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  677274	       336.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  709714	       339.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  707763	       339.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  732421	       325.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/Keys/ref+nilcheck-23        	  739922	       332.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  470737	       440.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  544927	       441.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  555819	       437.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  558486	       438.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  537708	       447.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  547508	       441.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  589203	       443.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  540314	       437.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ptr-23             	  536618	       447.8 ns/op	    1152 B/op	       1 allocs/op
