# generated by run.sh -- do not hand-edit
# date: 2026-09-06T05:18:34Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/dispatch
cpu: QEMU Virtual CPU version 2.5+
BenchmarkGet/raw-builtin-23            	75733286	         3.170 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	73735935	         3.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	69099984	         3.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/raw-builtin-23            	69643984	         3.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	71890186	         3.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	73765419	         3.223 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	70213706	         3.322 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	70285428	         3.315 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	69149418	         3.325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	65528025	         3.338 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	65035926	         3.220 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	74730362	         3.336 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	65750505	         3.296 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/direct-23                 	73550524	         3.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	59407764	         3.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	53970034	         4.096 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	57370329	         3.979 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	60228974	         3.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	61114981	         3.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	59762875	         3.963 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	55793076	         3.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	60992654	         3.976 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	54599482	         4.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/iface-23                  	56974496	         4.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	59462754	         4.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	60349771	         3.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	59584353	         4.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	58448896	         3.991 ns/op	       0 B/op	       0 allocs/op
