# generated by run.sh -- do not hand-edit
# date: 2026-09-11T03:49:29Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reverse
cpu: QEMU Virtual CPU version 2.5+
BenchmarkSubRangeBackward/A/method-pair-23  	 1917757	       124.0 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1958158	       122.5 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1927485	       124.1 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1954570	       122.8 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1936890	       124.0 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1941775	       122.8 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1965946	       122.7 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/A/method-pair-23  	 1963894	       122.3 ns/op	      88 B/op	       3 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1599712	       149.1 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1563117	       153.6 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1574672	       150.7 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1609552	       151.0 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1605271	       150.7 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1588922	       151.6 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1573238	       151.6 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1600656	       150.8 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1583785	       152.0 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/B/view.Backward-23         	 1552311	       154.1 ns/op	     136 B/op	       5 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2140761	       114.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2118114	       113.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2094494	       115.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2092915	       115.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2115570	       114.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2069727	       114.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2071468	       115.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2071539	       116.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2040675	       116.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/C/span.Backward-23         	 2043411	       115.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       208.4 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       207.5 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       205.4 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       206.0 ns/op	     600 B/op	       4 allocs/op
