# generated by run.sh -- do not hand-edit
# date: 2026-09-06T03:47:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/bulkinsert
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBulk/bulk/n=10000/k=4-23         	    2590	     44720 ns/op	  245856 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=4-23         	    2768	     44912 ns/op	  245856 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=4-23         	    2722	     44642 ns/op	  245856 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=4-23         	    2652	     44099 ns/op	  245856 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=4-23         	    3184	     44389 ns/op	  245856 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1611	     71585 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1600	     73871 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1665	     73438 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1816	     63267 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1717	     63885 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1827	     62858 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1975	     62497 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1882	     62462 ns/op	  245760 B/op	       1 allocs/op
