# generated by run.sh -- do not hand-edit
# date: 2026-09-10T05:40:19Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/iteration
cpu: QEMU Virtual CPU version 2.5+
BenchmarkABReverseHalf/B_reversible-23     	 5527760	        43.68 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5561691	        43.39 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5567833	        43.41 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5523274	        43.86 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5411949	        44.69 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5554252	        43.92 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5490675	        43.10 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5603230	        43.47 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_reversible-23     	 5411422	        43.32 ns/op	     144 B/op	       3 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8363212	        28.53 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8329137	        28.74 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8359752	        29.33 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8400433	        28.94 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8195899	        29.28 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8136381	        28.37 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 7763641	        29.45 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 7881684	        29.35 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8264634	        28.79 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/B_forward_only-23   	 8298486	        28.63 ns/op	      96 B/op	       2 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5778037	        41.42 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5768887	        42.33 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5608755	        41.89 ns/op	     120 B/op	       3 allocs/op
