# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuild/vlast/262144-23    	       1	6650140824 ns/op	 4194304 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3231824765 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3345543309 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3341535073 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3343948860 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3330094004 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3336719551 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3336767311 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3337324813 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3336630388 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkBuild/vfirst/262144-23   	       1	3335199064 ns/op	 2097152 B/op	       1 allocs/op
BenchmarkLookup/bare/64-23        	38827424	         2.959 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	39376951	         2.963 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	37458057	         2.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	37460280	         3.025 ns/op	       0 B/op	       0 allocs/op
