# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildRandom/slice/16384-23     	       5	  40814110 ns/op	      2491 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40741966 ns/op	      2487 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40869416 ns/op	      2494 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       6	  39352082 ns/op	      2402 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  41091872 ns/op	      2508 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40809010 ns/op	      2491 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40802642 ns/op	      2490 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       6	  39526742 ns/op	      2413 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40861182 ns/op	      2494 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/16384-23     	       5	  40698586 ns/op	      2484 ns/insert	  393240 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2353132 ns/op	       143.6 ns/insert	  886509 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2353825 ns/op	       143.7 ns/insert	  886505 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2372997 ns/op	       144.8 ns/insert	  886562 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2356319 ns/op	       143.8 ns/insert	  886508 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2331577 ns/op	       142.3 ns/insert	  886506 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2353446 ns/op	       143.6 ns/insert	  886506 B/op	    1154 allocs/op
