# generated by run.sh -- do not hand-edit
# date: 2026-09-25T00:37:06Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

# seal check: the impossible assertion still does not compile:
#   # badcastcheck
#   ./bad.go:10:7: impossible type assertion: v.(s.MapSet[string])
#   	sealing.MapSet[string] does not implement sealing.IfaceView[string] (missing method viewOnly)

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sealing
cpu: QEMU Virtual CPU version 2.5+
BenchmarkAll/construct/IfaceView-23           	16998499	        13.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkAll/construct/PtrView-23             	10445401	        23.89 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	10186492	        23.66 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	 9952599	        24.02 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	10166373	        23.68 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	10794622	        23.56 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	 9905235	        23.82 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	10315186	        23.75 ns/op	      40 B/op	       2 allocs/op
BenchmarkAll/construct/PtrView-23             	 9656796	        23.87 ns/op	      40 B/op	       2 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	128001453	         1.874 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	130608433	         1.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	131338564	         1.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	127821890	         1.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	128153865	         1.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	127929506	         1.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	134652526	         1.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcreteParameter/concrete-param-23  	125170323	         1.901 ns/op	       0 B/op	       0 allocs/op
