# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:33:17Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sizedcollect
cpu: QEMU Virtual CPU version 2.5+
BenchmarkCollect/known/4096-23         	   37707	      3194 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/known/4096-23         	   37252	      3236 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   42204	      2860 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   52318	      2718 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   40252	      3055 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   35086	      3280 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   37516	      2944 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   40668	      2927 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   41766	      2946 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   41296	      2905 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   40270	      2906 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/clone/4096-23         	   38977	      2984 ns/op	   32768 B/op	       1 allocs/op
BenchmarkCollect/unknown/65536-23      	     411	    304136 ns/op	 2512127 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     361	    328499 ns/op	 2512127 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     346	    330115 ns/op	 2512128 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     393	    307436 ns/op	 2512127 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     366	    314418 ns/op	 2512128 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     378	    324002 ns/op	 2512127 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     355	    325849 ns/op	 2512126 B/op	      25 allocs/op
BenchmarkCollect/unknown/65536-23      	     370	    323544 ns/op	 2512128 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     386	    313952 ns/op	 2512128 B/op	      26 allocs/op
BenchmarkCollect/unknown/65536-23      	     343	    337679 ns/op	 2512143 B/op	      26 allocs/op
BenchmarkCollect/known/65536-23        	    2389	     49259 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2172	     49980 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2172	     47175 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2082	     49395 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2235	     49786 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2491	     47686 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2515	     47223 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2356	     50122 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    2541	     51327 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/known/65536-23        	    1917	     58206 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    4047	     27769 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    4075	     28922 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3777	     30876 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    4065	     29722 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3752	     32189 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3427	     34025 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3512	     34452 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    2882	     34895 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3063	     33226 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/clone/65536-23        	    3496	     34249 ns/op	  524288 B/op	       1 allocs/op
BenchmarkCollect/unknown/1048576-23    	      33	   3407252 ns/op	41678115 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      30	   3541802 ns/op	41678096 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      32	   3465959 ns/op	41678109 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      36	   3380986 ns/op	41678100 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      34	   3541348 ns/op	41678107 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      33	   3444863 ns/op	41678118 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      34	   3501086 ns/op	41678091 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      36	   3283579 ns/op	41678103 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      30	   3693940 ns/op	41678092 B/op	      38 allocs/op
BenchmarkCollect/unknown/1048576-23    	      30	   3579690 ns/op	41678100 B/op	      38 allocs/op
BenchmarkCollect/known/1048576-23      	     206	    573948 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     214	    562347 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     213	    564084 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     211	    565013 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     216	    558376 ns/op	 8388609 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     211	    564889 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     207	    560319 ns/op	 8388609 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     211	    558186 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     212	    558749 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/known/1048576-23      	     216	    554711 ns/op	 8388608 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     303	    406281 ns/op	 8388613 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     264	    457813 ns/op	 8388610 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     246	    423969 ns/op	 8388611 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     292	    419986 ns/op	 8388610 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     261	    438731 ns/op	 8388610 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     248	    461978 ns/op	 8388611 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     354	    402912 ns/op	 8388612 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     271	    425578 ns/op	 8388611 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     298	    418239 ns/op	 8388612 B/op	       1 allocs/op
BenchmarkCollect/clone/1048576-23      	     298	    390903 ns/op	 8388614 B/op	       1 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	  877444	       114.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       114.1 ns/op	     248 B/op	       4 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       115.2 ns/op	     248 B/op	       5 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       114.2 ns/op	     248 B/op	       4 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       113.7 ns/op	     248 B/op	       4 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	  892909	       114.1 ns/op	     248 B/op	       4 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       114.9 ns/op	     248 B/op	       5 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       116.1 ns/op	     248 B/op	       4 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       115.4 ns/op	     248 B/op	       5 allocs/op
BenchmarkBuildSortedSet/unknown/16-23  	 1000000	       113.3 ns/op	     248 B/op	       5 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2164795	        55.71 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2178100	        55.21 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2145266	        56.07 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2173082	        54.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2132151	        55.66 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2227282	        54.65 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2240654	        53.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2081028	        56.10 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2178954	        55.24 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/16-23    	 2222739	        53.62 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2261685	        54.11 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2202564	        54.50 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2186614	        55.17 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2246754	        53.59 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2257617	        52.99 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2182722	        54.85 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2172348	        55.19 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2187458	        55.11 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2174358	        55.16 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/16-23    	 2260621	        54.21 ns/op	     128 B/op	       1 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   71529	      1624 ns/op	    4088 B/op	       8 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   76182	      1659 ns/op	    4088 B/op	       8 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   71392	      1696 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   74318	      1644 ns/op	    4088 B/op	       8 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   68068	      1646 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   74028	      1668 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   70216	      1722 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   73498	      1697 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   69444	      1675 ns/op	    4088 B/op	       9 allocs/op
BenchmarkBuildSortedSet/unknown/256-23 	   73670	      1666 ns/op	    4088 B/op	       8 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   88206	      1329 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   90985	      1319 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   92427	      1315 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   89786	      1331 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   90758	      1325 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   87540	      1329 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   86604	      1327 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   90862	      1331 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   91112	      1338 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/256-23   	   94051	      1325 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   95020	      1265 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   97593	      1273 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   93470	      1270 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	  101353	      1243 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   94584	      1273 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   98374	      1263 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   95689	      1274 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   98416	      1261 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   93849	      1283 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/256-23   	   94186	      1279 ns/op	    2048 B/op	       1 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1219	     95632 ns/op	  128248 B/op	      15 allocs/op
